@relation author-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute Date {1,0}
@attribute DicoWords {1,0}
@attribute IsMail {1,0}
@attribute relatifNbWordsInBlock numeric
@attribute relatifNumLine numeric
@attribute maxRelatifNumLine {1,0}
@attribute minRelatifNumLine {1,0}
@attribute end {1,0}
@attribute NbNouns numeric
@attribute precededByAuthorTag {1,0}
@attribute createdBy {1,0}
@attribute Location {1,0}
@attribute org {1,0}
@attribute class {0,1}

@data
1,0,0,0.617169,0.167939,0,0,0,3,0,0,1,1,0
0,0,0,0.242775,0.293478,0,0,0,1,0,0,0,1,0
0,0,0,1,0.373626,0,0,0,3,0,0,0,1,0
0,0,0,0.079782,0.396694,0,0,0,3,0,0,0,1,0
1,0,1,1,0.878049,0,0,0,4,0,0,1,1,0
1,0,1,1,0.167364,0,0,0,3,0,0,1,1,0
0,0,1,0.060166,0.913793,0,0,1,2,0,0,0,1,0
0,0,0,0.193833,0.085546,0,0,0,0,0,0,0,1,0
1,0,0,0.005191,0.012346,0,0,0,1,0,0,0,1,0
1,0,0,1,0.857782,0,0,0,2,0,0,0,0,0
0,0,1,1,0.893617,0,0,0,5,0,0,1,1,0
0,0,0,1,0.818681,0,0,0,4,0,0,1,1,0
0,0,0,0.029605,0.88961,0,0,0,0,0,0,0,0,0
0,0,0,0.671842,0.635135,0,0,0,1,0,0,0,0,0
1,1,1,1,0.133891,0,0,0,2,0,1,1,0,0
1,0,0,1,0.92,0,0,1,2,0,0,1,1,0
1,0,0,1,0.736842,0,0,0,9,0,0,1,1,0
0,0,0,0.148581,0.576667,0,0,0,0,0,0,0,0,0
0,0,0,1,0.59116,0,0,0,0,0,0,0,1,0
1,0,0,0.605246,0.621891,0,0,0,3,0,0,0,1,0
